Angle,Intensity,,,,,,,,,,,,,,,,,
16.643971087,10,,,,,,,,,,,,,,,,,
16.648148904,11,,,,,,,,,,,,,,,,,
16.652326722,8,,,,,,,,,,,,,,,,,
16.656504539,4,,,,,,,,,,,,,,,,,
16.660682356,2,,,,,,,,,,,,,,,,,
16.664860173,8,,,,,,,,,,,,,,,,,
16.669037991,3,,,,,,,,,,,,,,,,,
16.673215808,16,,,,,,,,,,,,,,,,,
16.677393625,3,,,,,,,,,,,,,,,,,
16.681571442,3,,,,,,,,,,,,,,,,,
16.68574926,11,,,,,,,,,,,,,,,,,
16.689927077,15,,,,,,,,,,,,,,,,,
16.694104894,4,,,,,,,,,,,,,,,,,
16.698282711,9,,,,,,,,,,,,,,,,,
16.702460529,10,,,,,,,,,,,,,,,,,
16.706638346,7,,,,,,,,,,,,,,,,,
16.710816163,4,,,,,,,,,,,,,,,,,
16.71499398,5,,,,,,,,,,,,,,,,,
16.719171798,7,,,,,,,,,,,,,,,,,
16.723349615,9,,,,,,,,,,,,,,,,,
16.727527432,4,,,,,,,,,,,,,,,,,
16.731705249,4,,,,,,,,,,,,,,,,,
16.735883066,7,,,,,,,,,,,,,,,,,
16.740060884,4,,,,,,,,,,,,,,,,,
16.744238701,8,,,,,,,,,,,,,,,,,
16.748416518,9,,,,,,,,,,,,,,,,,
16.752594335,9,,,,,,,,,,,,,,,,,
16.756772153,7,,,,,,,,,,,,,,,,,
16.76094997,8,,,,,,,,,,,,,,,,,
16.765127787,9,,,,,,,,,,,,,,,,,
16.769305604,4,,,,,,,,,,,,,,,,,
16.773483422,5,,,,,,,,,,,,,,,,,
16.777661239,8,,,,,,,,,,,,,,,,,
16.781839056,4,,,,,,,,,,,,,,,,,
16.786016873,7,,,,,,,,,,,,,,,,,
16.790194691,7,,,,,,,,,,,,,,,,,
16.794372508,3,,,,,,,,,,,,,,,,,
16.798550325,8,,,,,,,,,,,,,,,,,
16.802728142,10,,,,,,,,,,,,,,,,,
16.80690596,3,,,,,,,,,,,,,,,,,
16.811083777,7,,,,,,,,,,,,,,,,,
16.815261594,11,,,,,,,,,,,,,,,,,
16.819439411,4,,,,,,,,,,,,,,,,,
16.823617229,4,,,,,,,,,,,,,,,,,
16.827795046,9,,,,,,,,,,,,,,,,,
16.831972863,5,,,,,,,,,,,,,,,,,
16.83615068,7,,,,,,,,,,,,,,,,,
16.840328498,9,,,,,,,,,,,,,,,,,
16.844506315,5,,,,,,,,,,,,,,,,,
16.848684132,4,,,,,,,,,,,,,,,,,
16.852861949,3,,,,,,,,,,,,,,,,,
16.857039767,11,,,,,,,,,,,,,,,,,
16.861217584,7,,,,,,,,,,,,,,,,,
16.865395401,7,,,,,,,,,,,,,,,,,
16.869573218,9,,,,,,,,,,,,,,,,,
16.873751036,9,,,,,,,,,,,,,,,,,
16.877928853,9,,,,,,,,,,,,,,,,,
16.88210667,7,,,,,,,,,,,,,,,,,
16.886284487,9,,,,,,,,,,,,,,,,,
16.890462305,9,,,,,,,,,,,,,,,,,
16.894640122,9,,,,,,,,,,,,,,,,,
16.898817939,7,,,,,,,,,,,,,,,,,
16.902995756,5,,,,,,,,,,,,,,,,,
16.907173574,8,,,,,,,,,,,,,,,,,
16.911351391,5,,,,,,,,,,,,,,,,,
