Divergence slit,Fixed,0.19mm,,,,,,,,,,,,,,69.1631,34.58155,0.603561908,1.226481993,1.50425808,16.427,24.71044749,4.970960419
Monochromator used,NO,,,,,,,,,,,,,,,88.0468,44.0234,0.768353278,1.001687748,1.003378345,24.623,24.70618498,4.97053166
Generator voltage,45,,,,,,,,,,,,,,,,,,,,,,
Tube current,40,,,,,,,,,,,,,,,,,,,,,,
File date and time,11/6/2018 9:22,,,,,,,,,,,,,,,,,,,,,,
Unit cell,,,,,,,,,,,,,,,,,,,,,,,
h k l, 0 0 0,,,,,,,,,,,,,,,,,,,,,,
Scan axis,Gonio,,,,,,,,,,,,,,,,,,,,,,
Scan range,10.001,149.9996559,,,,,,,,,,,,,,,,,,,,,
Scan step size,0.0083556,,,,,,,,,,,,,,,,,,,,,,
No. of points,16755,,,,,,,,,,,,,,,,,,,,,,
Scan type,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,
Phi,0,,,,,,,,,,,,,,,,,,,,,,
Time per step,1.905,,,,,,,,,,,,,,,,,,,,,,
[Scan points],,,,,,,,,,,,,,,,,,,,,,,
Angle,Intensity,,,,,,,,,,,,,,,,,,,,,,
12.31968857,12,,,,,,,,,,,,,,,,,,,,,,
12.32804421,6,,,,,,,,,,,,,,,,,,,,,,
12.33639984,5,,,,,,,,,,,,,,,,,,,,,,
12.34475548,8,,,,,,,,,,,,,,,,,,,,,,
12.35311111,0,,,,,,,,,,,,,,,,,,,,,,
12.36146675,12,,,,,,,,,,,,,,,,,,,,,,
12.36982238,5,,,,,,,,,,,,,,,,,,,,,,
12.37817802,5,,,,,,,,,,,,,,,,,,,,,,
12.38653365,5,,,,,,,,,,,,,,,,,,,,,,
12.39488928,6,,,,,,,,,,,,,,,,,,,,,,
12.40324492,8,,,,,,,,,,,,,,,,,,,,,,
12.41160055,8,,,,,,,,,,,,,,,,,,,,,,
12.41995619,8,,,,,,,,,,,,,,,,,,,,,,
12.42831182,10,,,,,,,,,,,,,,,,,,,,,,
12.43666746,5,,,,,,,,,,,,,,,,,,,,,,
12.44502309,5,,,,,,,,,,,,,,,,,,,,,,
12.45337873,8,,,,,,,,,,,,,,,,,,,,,,
12.46173436,8,,,,,,,,,,,,,,,,,,,,,,
12.47008999,8,,,,,,,,,,,,,,,,,,,,,,
12.47844563,8,,,,,,,,,,,,,,,,,,,,,,
12.48680126,10,,,,,,,,,,,,,,,,,,,,,,
12.4951569,4,,,,,,,,,,,,,,,,,,,,,,
12.50351253,8,,,,,,,,,,,,,,,,,,,,,,
12.51186817,5,,,,,,,,,,,,,,,,,,,,,,
12.5202238,13,,,,,,,,,,,,,,,,,,,,,,
12.52857944,5,,,,,,,,,,,,,,,,,,,,,,
12.53693507,1,,,,,,,,,,,,,,,,,,,,,,
12.5452907,8,,,,,,,,,,,,,,,,,,,,,,
12.55364634,12,,,,,,,,,,,,,,,,,,,,,,
12.56200197,6,,,,,,,,,,,,,,,,,,,,,,
12.57035761,8,,,,,,,,,,,,,,,,,,,,,,
12.57871324,8,,,,,,,,,,,,,,,,,,,,,,
12.58706888,1,,,,,,,,,,,,,,,,,,,,,,
12.59542451,6,,,,,,,,,,,,,,,,,,,,,,
12.60378015,1,,,,,,,,,,,,,,,,,,,,,,
12.61213578,6,,,,,,,,,,,,,,,,,,,,,,
12.62049142,10,,,,,,,,,,,,,,,,,,,,,,
12.62884705,12,,,,,,,,,,,,,,,,,,,,,,
12.63720268,8,,,,,,,,,,,,,,,,,,,,,,
12.64555832,12,,,,,,,,,,,,,,,,,,,,,,
12.65391395,18,,,,,,,,,,,,,,,,,,,,,,
